"ngram","frequency","rater1","rater2"
"NUM·the·only·",106,1,3
"is·a·canadian·",142,5,4
"it·proved·",83,5,3
"of·folk·",69,5,3
"par·with·",67,5,3
"film·that·",93,2,3
"a·NUM·-·yard·",136,1,3
"to·bear·",160,6,4
"is·NUM·times·",90,1,3
"its·height·",81,6,3
"society·'·s·",77,5,3
"located·between·",137,2,3
"almost·completely·",103,5,4
"the·cultivation·",60,6,3
"career·statistics·",63,6,3
"in·love·with·",201,5,4
"were·killed·",280,6,3
"a·manager·",85,6,4
"rated·at·",77,4,3
"is·officially·",87,1,4
"census·of·NUM·there·were·NUM·people·NUM·households·",254,1,3
"the·oldest·surviving·",61,5,3
"sailed·for·",61,5,3
"of·the·economic·",70,5,3
"a·trading·",73,3,3
"user·interface·",217,5,3
"an·ethnic·",106,2,4
"was·afraid·",59,5,3
"most·recently·",201,6,4
"in·previous·",143,5,3
"by·age·",64,5,3
"half·an·",61,1,3
"a·relatively·small·",77,1,3
"allied·with·",105,3,3
"to·various·",367,1,3
"the·NUM·census·its·population·was·NUM·in·NUM·",157,1,3
"he·claims·",89,5,3
"can·be·obtained·",105,5,3
"appeared·as·",189,5,3
"the·fighting·",257,6,4
"are·located·on·",89,5,4
"partition·of·",104,3,3
"the·majority·",172,6,3
"does·not·require·",114,5,3
"of·the·summer·",75,5,3
"to·Athens·",71,6,4
"Waffen·-·SS·",84,5,3
"it·was·clear·",78,5,4
"him·NUM·of·",73,1,3
"been·criticised·",72,6,3
"enforcement·of·",101,2,3
"the·integral·",129,2,3
"is·typically·",481,2,4
"City·of·London·",59,5,4
"of·capital·",139,5,4
"the·discipline·",92,6,4
"bits·of·",88,4,4
"his·descendants·",83,6,4
"was·placed·under·",61,5,3
"the·spirit·",113,6,4
"urban·planning·",67,6,4
"a·sufficient·",81,2,4
"the·fiscal·",62,6,3
"an·album·",189,6,4
"asian·NUM·%·Pacific·Islander·NUM·%·from·other·",76,1,4
"a·resolution·",164,6,3
"derivation·of·",65,2,3
"flag·of·",189,5,3
"won·the·bronze·medal·",72,5,4
"his·military·",201,5,4
"the·St·Louis·",105,2,4
"style·with·",89,2,4
"of·forest·",75,1,4
"NUM·can·",189,1,3
"NUM·-·lane·",104,2,3
"played·against·",81,5,3
"no·more·than·NUM·",141,5,3
"of·the·base·",65,5,3
"fire·in·NUM·",68,2,3
"NUM·S·",145,4,3
"due·to·injury·",79,6,3
"proportional·representation·",79,5,3
"on·several·occasions·",130,6,4
"the·NUMnd·century·",111,6,3
"the·afghan·",107,5,4
"World·Trade·Center·",65,6,4
"the·operating·",93,2,3
"former·President·",102,5,3
"by·replacing·",65,5,3
"among·the·best·",70,6,3
"of·key·",98,2,3
"presidential·campaign·",129,5,4
"in·captivity·",157,5,4
"maximum·number·of·",63,2,3
"the·celtic·",79,6,4
"the·selection·",62,6,4
"the·most·prestigious·",69,2,4
"debate·about·",100,4,4
"Windows·NUM·",371,5,3
"a·specified·",61,1,3
"a·scandal·",65,6,4
"good·and·evil·",66,6,4
"in·NUMth·place·",86,5,4
"the·following·month·",122,6,4
"in·attendance·",146,5,3
"of·Oklahoma·",97,5,4
"soon·followed·",90,2,3
"to·believe·",159,6,4
"cars·are·",62,1,3
"the·shock·",79,6,3
"stage·of·",204,3,3
"he·travelled·",97,6,3
"to·ease·",78,6,3
"started·at·",100,3,3
"distance·between·",83,2,3
"the·common·name·",68,5,3
"collection·of·NUM·",70,2,3
"science·and·technology·",120,5,3
"groups·with·",71,2,3
"the·second·law·",61,6,3
"carrying·out·",146,5,3
"the·Winter·",175,6,3
"NUM·gave·",76,1,3
"the·tiny·",62,2,3
"also·called·",542,5,3
"he·traveled·",112,5,3
"a·connection·",151,6,3
"with·different·",330,2,3
"cluster·of·",103,5,3
"the·dance·",195,6,3
"very·important·",144,5,3
"by·a·local·",60,5,3
"to·the·Middle·",67,5,4
"of·the·congregation·",69,5,4
"a·hidden·",82,2,3
"was·gradually·",84,2,3
"of·christianity·",234,5,4
"be·introduced·",75,6,3
"to·encompass·",61,6,3
"was·linked·",78,6,3
"the·Prime·Minister·of·",83,5,4
"the·remaining·",650,2,3
"its·value·",74,6,3
"in·the·NUM·m·",280,5,3
"in·the·North·",351,6,4
"football·soccer·",75,3,4
"however·were·",100,1,3
"started·playing·",77,5,3
"a·formidable·",66,2,3
"the·wooden·",84,2,3
"also·occur·",70,2,3
"is·treated·",65,6,3
"the·Holy·Land·",94,6,4
"agreed·on·",105,5,3
"as·a·place·",73,5,3
"other·animals·",119,6,3
"the·priests·",81,6,4
"the·postwar·",60,6,3
"NUM·were·",1135,1,3
"is·licensed·",73,5,3
"applied·for·",158,5,3
"be·ready·",62,5,3
"at·the·south·",67,2,4
"of·the·World·",555,5,4
"charges·against·",110,5,3
"when·viewed·",63,4,3
"Province·of·",160,5,3
"ran·on·",78,5,3
"a·Sunday·",66,5,4
"an·overall·",195,2,3
"a·residential·",84,2,3
"duties·as·",70,4,3
"the·Potomac·",95,5,3
"a·god·",95,6,4
"until·his·death·in·NUM·",197,5,3
"there·are·about·NUM·",93,5,3
"has·been·published·",78,6,3
"in·Tibet·",79,6,4
"the·narrative·",112,6,3
"african·American·NUM·%·native·American·NUM·%·asian·",126,1,3
"a·socialist·",104,6,4
"the·first·quarter·",73,6,3
"incompatible·with·",95,5,3
"the·people·'·s·Republic·of·China·",205,6,4
"on·drums·",88,5,3
"performances·at·",61,5,3
"the·balkan·",61,6,4
"the·Indian·",202,6,4
"of·the·company·'·s·",109,5,3
"weapons·of·",79,5,3
"a·gun·",135,6,3
"the·real·world·",96,6,4
"Organization·for·",84,2,4
"commercial·use·",72,5,4
"GEForce·NUM·",77,3,3
"of·Madrid·",79,5,4
"to·preserve·",224,6,3
"also·operates·",89,2,3
"medical·school·",122,5,3
"available·only·",81,2,3
"of·Governors·",63,3,3
"the·average·annual·",61,6,3
"the·US·Army·",83,6,4
"of·the·genre·",71,5,4
"the·reasons·for·",100,5,4
"NUM·GB·",165,2,3
"NMONTH·NUM·however·",65,1,3
"won·the·NUM·",446,1,3
"the·cycle·",135,6,3
"these·services·",65,6,3
"of·global·",145,2,3
"also·served·as·",126,5,3
"to·Moscow·",160,5,4
"of·the·Ottoman·",75,5,4
"formerly·of·",67,3,3
"in·determining·",93,5,3
"to·heavy·",68,2,3
"he·called·",174,5,3
"rural·areas·",148,6,4
"rock·and·roll·",118,6,4
"was·preparing·",74,6,3
"of·the·classic·",61,5,4
"the·Olympic·Games·",151,6,4
"of·Edward·",122,5,3
"played·football·",59,6,3
"players·were·",124,2,3
"NUM·male·",79,4,3
"are·grouped·",79,6,3
"in·Asia·Minor·",69,5,3
"song·with·",92,2,4
"the·Grand·Prix·",76,6,4
"NUMth·Century·",62,6,4
"the·north·-·east·",61,6,4
"bands·such·as·",112,4,3
"won·several·",73,2,3
"NUM·died·",136,5,3
"a·spectacular·",74,2,3
"trains·were·",64,1,3
"in·his·NUM·",413,2,3
"x·y·",102,1,3
"of·Engineers·",63,5,3
"stations·on·",82,2,3
"a·chapel·",62,6,3
"by·the·King·",69,6,3
"was·sentenced·to·NUM·",114,5,3
"a·tiny·",109,1,3
"been·described·as·",62,5,3
"NUM·known·",180,1,3
"production·at·",63,2,3
"NUM·games·to·NUM·",60,1,3
"of·media·",134,5,3
"a·higher·",521,2,3
"not·strictly·",60,5,3
"a·complex·",422,5,3
"for·having·",297,2,3
"other·large·",93,1,3
"of·Engineering·",154,5,3
"NUM·DVD·",86,3,3
"a·dynamic·",71,5,3
"second·book·",67,5,3
"the·small·town·",60,6,4
"the·Nazi·Party·",70,6,4
"to·qualify·for·",60,5,3
"Bank·of·",314,2,3
"to·be·released·",216,6,3
"NUM·UK·",89,2,3
"point·for·",218,2,3
"public·relations·",108,6,3
"rate·for·",79,2,3
"NUM·type·",64,2,3
"was·viewed·",120,6,3
"open·to·the·public·",147,6,4
"largest·island·",68,5,3
"an·investigation·",151,6,3
"in·others·",127,5,3
"the·invasion·",179,6,4
"NUM·residents·",227,5,4
"in·recent·decades·",78,6,4
"the·scene·",472,5,3
"begin·with·",136,3,3
"NUM·most·of·",64,1,3
"relatively·few·",66,5,3
"among·NUM·",162,4,3
"campaigned·for·",80,4,3
"the·instruction·",85,6,3
"Parliament·of·",63,2,4
"slope·of·",77,2,3
"it·fell·",66,5,3
"the·inner·",409,2,3
"white·dwarf·",109,5,4
"female·householder·with·no·husband·present·and·NUM·%·",216,1,3
"R·&·B·/·hip·-·Hop·",72,5,3
"Southern·Cross·",61,5,4
"portions·of·",163,1,3
"of·action·",295,5,3
"of·standard·",96,5,3
"Music·Group·",82,5,3
"the·discussion·",107,6,3
"transfer·of·",143,2,3
"of·rain·",106,5,3
"also·directed·",74,3,3
"the·income·",93,6,3
"a·food·",122,5,4
"NUM·other·",1008,2,3
"showing·that·",135,2,3
"stripped·of·",138,5,3
"Han·Chinese·",117,5,4
"defense·of·",63,2,3
"the·son·",90,6,4
"state·election·",60,5,4
"the·spiritual·",181,5,4
"the·international·community·",108,6,4
"the·meaning·",86,6,3
"in·NUM·as·well·as·",68,1,3
"production·of·",535,2,3
"was·subsequently·",379,2,3
"with·New·",90,2,3
"partly·because·",153,5,3
"a·deal·with·",124,5,3
"to·reject·",78,6,3
"River·Delta·",63,5,4
"was·soon·",389,2,3
"Sri·Lanka·",297,6,4
"adaptation·of·",61,5,3
"London·in·NUM·",123,4,3
"will·include·",85,6,3
"became·a·part·of·",77,5,3
"to·convince·",238,6,3
"a·thin·",196,2,3
"slightly·less·",78,5,3
"NUM·out·of·NUM·stars·",74,5,3
"during·the·period·of·",130,5,3
"a·break·",175,6,3
"in·the·southwestern·",62,3,4
"are·named·",130,6,3
"NUM·m·",156,5,3
"of·electric·",112,2,3
"of·the·nobility·",66,5,3
"the·page·",163,6,3
"consistent·with·",129,5,3
"Hall·of·",81,3,4
"only·possible·",66,2,3
"his·mother·",1435,6,4
"of·Houston·",80,6,4
"the·metric·",100,6,4
"a·practical·",136,2,3
"by·a·factor·",70,5,3
"to·using·",103,2,3
"program·on·",70,5,3
"a·gift·",135,6,4
"more·massive·",72,5,3
"continental·Europe·",64,6,4
"of·crime·",80,5,4
"show·of·",103,3,4
"language·version·",61,2,4
"given·to·him·",75,5,4
"NUM·judges·",62,5,3
"live·action·",80,6,4
"afraid·of·",83,5,3
"is·difficult·",89,5,4
"the·bodies·",73,6,4
"NUM·Super·",116,2,3
"collections·of·",226,5,3
"were·elected·",122,6,4
"Leeds·United·",86,6,4
"the·comment·",82,6,3
"he·brought·",114,5,3
"it·was·directed·",62,6,3
"coincides·with·",91,4,3
"as·a·series·",68,4,3
"the·absolute·",189,5,3
"saw·action·",62,2,3
"correlated·with·",73,5,3
"a·minor·",517,6,3
"the·deputy·",73,6,3
"the·United·States·in·NUM·",173,5,3
"she·went·",148,6,3
"sq·mi·",83,2,3
"as·the·name·",106,2,3
"goal·difference·",102,5,3
"in·NUM·he·married·",148,5,3
"of·the·Month·",77,2,3
"over·NUM·days·",63,5,3
"the·tube·",109,6,3
"the·georgian·",192,2,4
"John·of·",196,1,3
"movement·of·",146,2,3
"whose·work·",74,5,3
"NUM·south·",110,1,3
"the·measure·",127,6,3
"limit·of·",111,3,3
"the·British·Royal·",70,2,4
"of·Virginia·",154,5,4
"NUM·-·track·",97,5,3
"the·allied·",321,6,3
"a·short·-·lived·",82,2,3
"white·with·",70,1,3
"of·attention·",64,5,3
"in·India·",916,6,4
"professional·footballer·",62,6,4
"NUM·very·",74,1,3
"life·of·",191,2,4
"of·writing·",206,5,4
"increased·risk·of·",77,2,3
"is·impossible·",67,5,4
"NUM·buildings·",156,5,3
"in·NUM·he·wrote·",96,5,3
"the·plan·",423,6,4
"cause·of·death·",81,5,4
"been·successful·",73,5,4
"University·of·Florida·",65,6,4
"Houston·Texas·",88,6,4
"the·country·with·",87,1,3
"be·held·",113,5,3
"of·US·",143,2,3
"the·Wright·",60,2,4
"Railway·Station·",144,5,4
"result·of·this·",60,5,4
"Hanna·B·Margońska·",67,6,4
"other·women·",64,6,4
"league·baseball·",69,5,4
"the·arabic·",153,2,4
"in·individual·",59,2,3
"at·a·distance·of·",63,5,3
"front·line·",96,6,4
"for·a·fee·of·",64,5,3
"its·independence·",130,6,4
"NUM·project·",62,2,3
"in·the·entire·",82,2,3
"call·sign·",71,5,3
"a·reserve·",84,5,3
"NUM·processors·",68,5,3
"the·British·",599,6,4
"to·attract·",266,6,3
"the·best·",822,6,3
"after·a·long·",133,2,3
"to·stabilize·",94,6,3
"on·the·main·",140,2,3
"the·song·'·s·",152,5,3
"the·sacred·",133,6,4
"appears·on·",112,5,3
"the·IEEE·",85,5,3
"of·the·majority·",72,5,3
"contemporary·art·",59,6,4
"Marco·Polo·",98,6,4
"consisting·of·NUM·",291,2,3
"been·established·",144,6,3
"the·chapter·",65,6,3
"post·office·",152,5,4
"was·unveiled·",142,6,3
"Association·of·America·",89,5,4
"represent·NUM·",62,1,3
"NUM·does·not·",73,1,3
"NUM·however·",94,1,3
"running·on·",149,5,3
"an·elected·",104,4,3
"of·the·living·",89,5,3
"ruled·out·",100,5,3
"short·of·",198,5,3
"the·site·",312,6,3
"merge·with·",61,5,3
"of·Major·League·",66,5,4
"of·his·son·",124,5,4
"NUM·M·",132,4,3
"between·NUM·",969,2,3
"can·move·",66,6,3
"grounds·for·",61,1,3
"in·film·",170,5,3
"a·memorandum·",59,6,4
"has·contributed·",73,6,3
"a·monopoly·",65,6,4
"in·the·long·",187,5,3
"penalty·for·",65,5,4
"programs·that·",114,3,3
"for·United·",100,1,4
"the·Pro·",72,5,4
"into·a·single·",165,2,3
"community·service·",63,5,4
"is·considered·an·",78,2,3
"first·met·",107,3,4
"crowd·of·NUM·",74,5,3
"on·national·",80,2,3
"beginning·on·",88,5,3
"standards·for·",150,2,3
"relationships·between·",141,5,4
"re·-·elected·in·NUM·",71,5,3
"rules·that·",65,2,3
"as·well·as·the·NUM·",59,1,3
"it·is·revealed·that·",87,5,3
"the·arab·world·",89,6,4
"with·lower·",76,1,3
"with·formula·NUM·",74,2,3
"its·NUMth·anniversary·",61,5,3
"NUM·plus·",102,1,3
"NUM·parts·of·",62,1,3
"to·standard·",63,5,3
"on·NMONTH·NUM·which·",66,2,3
"in·Cleveland·",88,6,4
"the·Mediterranean·",145,6,4
"used·NUM·",154,2,3
"of·northern·",251,2,4
"the·computer·",386,6,4
"by·looking·",63,5,4
"of·the·turkish·",84,5,4
"the·wealthiest·",64,5,4
"the·lens·",131,6,3
"suite·of·",72,4,3
"the·Secretary·",64,6,4
"the·BBC·'·s·",93,5,4
"NUM·representing·",92,2,3
"a·secular·",70,2,4
"at·the·meeting·",64,5,3
"integrated·circuits·",69,6,3
"the·first·version·of·",65,4,4
"this·means·that·",214,5,3
"the·law·",574,6,4
"National·Team·",60,5,4
"IBM·'·s·",90,5,4
"his·daughter·",456,6,4
"died·at·",219,5,4
"NUM·distinct·",313,2,3
"Lockheed·Martin·",69,6,4
"the·Boeing·NUM·",135,6,3
"strategy·of·",111,2,3
"the·Chinese·",149,6,4
"give·him·",59,1,3
"Paris·in·NUM·",70,2,3
"to·the·idea·",104,2,3
"coinciding·with·",68,5,3
"Christ·'·s·",137,5,4
"courts·of·",99,1,4
"Los·Angeles·",392,6,4
"the·Foundation·",114,6,4
"the·judiciary·",83,6,4
"is·held·",380,6,3
"described·as·an·",68,5,3
"to·challenge·",125,6,3
"the·amateur·",60,6,4
"an·associate·",125,6,4
"the·gang·",66,6,4
"would·allow·",216,6,3
"air·force·",153,5,4
"in·only·NUM·",127,2,3
"defined·as·",87,5,3
"they·finished·",146,5,3
"of·the·mountain·",110,5,3
"proximity·of·",79,2,3
"was·to·become·",123,5,3
"then·sent·",96,2,3
"the·city·center·",96,6,4
"later·in·life·",60,6,4
"Charles·Darwin·",102,6,4
"a·floating·",61,2,3
"the·LDP·",62,5,4
"the·Parliament·",215,6,4
"has·also·been·used·",100,5,3
"the·organization·",443,6,4
"more·popular·",197,5,4
"of·Macedonia·",63,5,4
"are·the·NUM·",179,2,3
"Aga·Khan·",62,5,4
"is·the·second·largest·",93,4,4
"large·amounts·of·",207,5,4
"in·agriculture·",119,5,4
"merits·of·",62,2,3
"was·a·highly·",60,1,3
"rather·than·an·",78,1,3
"in·engineering·",75,5,4
"of·the·League·",112,5,4
"north·-·western·",97,5,4
"a·rural·",135,2,4
"in·character·",74,5,4
"is·accessible·",73,6,3
"the·reverend·",64,6,4
"was·released·in·NUM·",477,5,3
"the·probability·",101,6,4
"later·became·",71,5,3
"at·the·International·",81,2,4
"be·sold·",83,6,4
"for·Japan·",82,6,4
"NUM·-·third·",79,2,3
"from·having·",61,2,3
"lived·at·",103,5,4
"operating·at·",61,5,3
"having·won·",109,5,3
"the·NUMs·and·early·NUMs·",95,5,3
"Linux·kernel·",60,5,4
"playing·as·",68,4,3
"following·an·",162,5,3
"were·eliminated·",149,6,3
"the·de·",101,3,3
"established·an·",90,2,3
"population·in·NUM·",61,3,3
"Sons·of·",63,5,4
"he·expressed·",90,5,3
"in·Venezuela·",62,6,4
"Borussia·Dortmund·",132,6,4
"to·order·",129,6,4
"were·manufactured·",69,6,3
"NMONTH·NUM·that·",83,1,3
"was·annexed·",105,6,4
"it·is·located·",244,5,4
"the·winners·",83,6,4
"a·steel·",108,2,3
"or·less·",190,5,4
"an·adult·",221,6,4
"of·the·box·",60,5,4
"mechanism·for·",102,4,4
"Old·Town·",89,6,4
"of·Bengal·",79,4,4
"credit·card·",154,6,4
"mental·illness·",76,6,4
"in·NUM·against·",116,2,3
"view·that·",63,1,3
"the·radial·",111,3,3
"the·album·was·released·",73,5,4
"culture·as·",73,2,4
"the·neck·",185,6,4
"the·Bill·",90,6,4
"in·the·arts·",79,5,4
"the·chart·",105,6,4
"Hitchcock·'·s·",68,6,4
"interviews·with·",138,5,3
"success·at·",108,2,3
"the·Communists·",170,6,4
"week·of·NMONTH·",60,5,3
"copyright·infringement·",59,5,4
"of·the·capital·",158,5,4
"NUM·-·NUM·",10996,4,3
"prefecture·-·level·",76,3,3
"after·completing·",168,5,3
"NUM·v·",191,2,3
"the·coordinates·",66,6,4
"study·for·",60,5,3
"from·London·",126,6,4
"the·greens·",82,5,4
"not·depend·",68,4,3
"NUM·Jones·",73,2,3
"NUM·turkish·",66,2,4
"mass·of·NUM·",80,2,4
"the·conservative·",300,5,4
"on·account·of·",132,5,3
"the·grammar·",60,6,4
"in·Italy·",842,6,4
"of·history·",356,5,4
"China·as·",83,2,4
"the·senior·",346,6,4
"for·playing·",108,4,3
"Papua·New·Guinea·",135,6,4
"consisted·of·",364,5,3
"i·'·d·",89,2,3
"the·Right·",109,5,4
"the·restaurant·",108,6,4
"the·intention·",85,6,4
"having·lost·",81,5,4
"the·achievement·",63,6,4
"for·every·NUM·females·there·were·NUM·males·",232,5,3
"task·of·",79,2,3
"NUM·%·while·",65,1,3
"Motion·Picture·",118,5,4
"to·educate·",114,6,4
"run·of·NUM·",94,1,3
"of·the·Civil·War·",62,5,4
"included·as·",120,3,4
"a·discrete·",77,1,3
"a·role·",219,6,3
"sizes·of·",62,2,3
"the·plasma·",119,6,3
"Tales·of·",68,2,4
"electrons·are·",65,1,3
"when·she·was·NUM·",61,5,3
"scored·his·first·",104,1,3
"main·character·",61,6,4
"by·UNESCO·",71,6,4
"by·the·early·NUMs·",113,5,3
"runs·at·",74,2,3
"power·for·",127,2,3
"Julius·Caesar·",139,6,4
"was·spread·out·with·NUM·%·under·the·age·",204,1,3
"administrative·divisions·",159,5,4
"in·the·U·S·state·of·",118,5,4
"in·Dubai·",76,6,4
"in·Portugal·",196,5,4
"an·executive·",112,6,3
"a·lifetime·",77,6,4
"media·attention·",128,5,4
"data·structure·",62,5,4
"of·honor·",63,5,4
"fearing·that·",84,2,3
"types·of·",2057,2,3
"program·at·",103,1,4
"reflection·of·",92,2,3
"in·NUM·early·",100,1,3
"for·every·NUM·females·age·NUM·and·over·there·",233,1,3
"of·NUM·as·",235,1,3
"branch·of·",199,2,3
"of·the·data·",95,5,4
"the·NUMth·army·",71,5,3
"it·has·become·",131,2,3
"talks·with·",128,5,3
"the·Dead·Sea·",86,6,4
"the·earthquake·",188,6,4
"of·the·jewish·",152,5,4
"many·small·",79,1,3
"is·planning·",59,6,3
"adults·are·",60,1,3
"of·Law·",81,5,3
"started·NUM·",81,2,3
"is·a·measure·of·",59,5,3
"allowed·NUM·",92,2,3
"more·stable·",63,5,4
"the·derivative·",64,5,3
"teams·with·",66,2,3
"is·within·",60,4,3
"the·NUM·m·",246,2,3
"the·middle·of·the·NUMth·century·",127,5,3
"§·NUM·",87,5,3
"to·a·small·",95,1,3
"was·posted·",97,6,3
"with·NUM·of·",156,2,3
"made·it·possible·",81,5,3
"of·the·New·York·",194,2,3
"comments·that·",86,2,3
"NUM·better·known·",63,1,3
"NUM·to·NUM·years·",206,5,3
"Rugby·League·",137,5,4
"the·orbital·",125,5,3
"personal·computer·",101,5,4
"on·NUM·-·NUM·NMONTH·",70,5,3
"t·NUM·",369,2,3
"as·a·potential·",88,5,3
"a·source·of·",202,2,3
"NUM·inhabitants·",386,5,4
"the·Summer·",175,6,4
