"ngram","fc","rc"
"a·reduction·",56,54
"a·regular·",41,16
"a·rescue·",0,20
"a·return·",128,22
"a·right·",72,0
"a·road·traffic·collision·on·",0,20
"a·role·",79,38
"a·row·over·",22,20
"a·second·",1350,220
"a·second·Scottish·",21,0
"a·senior·",189,34
"A·separate·",0,16
"a·serious·road·",0,14
"a·set·",51,0
"a·share·",37,0
"a·shared·",39,32
"a·shopping·",0,34
"a·shortage·",41,0
"a·significant·impact·on·",16,22
"a·silver·",14,196
"a·smaller·",28,16
"a·spate·of·",14,16
"a·special·",195,0
"a·spokesman·",59,16
"A·spokesman·for·",131,280
"A·spokesman·for·",131,0
"A·spokesman·said:·",25,74
"A·spokesperson·from·",0,16
"A·spokeswoman·",31,88
"a·stab·wound·",0,14
"a·statement·",181,120
"a·steady·",22,16
"a·storm·",18,16
"a·story:·0141·",0,192
"a·strategy·",35,38
"A·study·",14,0
"a·sudden·",37,0
"a·suitcase·",0,26
"a·Sunday·",18,16
"A·Sussex·Police·",0,22
"a·sustainable·",21,52
"a·terrible·",35,0
"A·THIEF·who·",0,14
"A·third·",25,30
"a·third·of·the·",19,0
"a·time·of·",39,18
"a·tiny·",32,30
"a·total·",141,196
"a·total·of·",65,132
"a·train·",14,128
"a·truck·",0,20
"a·two-year·",71,22
"a·UK·Government·",16,0
"a·unique·",66,146
"a·US·Food·and·Drug·",0,26
"a·USA-based·",0,16
"a·vast·",26,18
"a·vocal·",31,0
"a·voice·",51,28
"a·wall·in·",0,22
"a·warrant·",0,24
"a·way·to·",68,30
"a·week·",226,112
"A·Who·",0,20
"a·wide·range·of·",59,82
"a·wider·",61,34
"A·witness·",0,36
"a·woman·",43,674
"A·WOMAN·has·been·",0,46
"a·woman·were·",0,14
"a·wonderful·",33,36
"a·year-on-year·",0,20
"a·year·-·",20,0
"a·year·and·",32,18
"AbbVie·(NYSE:·ABBV)·",0,56
"AbbVie·(NYSE:·ABBV)·has·",0,14
"Aberdeen·Evening·",46,236
"about·Brexit·",358,0
"about·Brexit·and·",71,0
"about·how·the·",44,0
"about·it.·",76,0
"about·the·importance·of·",20,0
"about·the·potential·",31,34
"about·to·",153,38
"about·what·will·",17,0
"about·who·",0,18
"above·the·",99,78
"above·the·",99,0
"absence·of·",123,52
"academic·and·",14,16
"accelerated·assessment·",0,32
"acceptance·of·",19,72
"accepted·by·",34,0
"Access·to·",0,80
"access·to·the·",553,164
"access·to·the·",553,0
"access·to·the·EU·single·",19,0
"access·to·the·European·",45,0
"according·to·a·report·",20,14
"according·to·IMS·",0,28
"according·to·research·",23,0
"achieved·by·",28,16
"achieved·in·",20,18
"across·different·",0,16
"across·the·EU·",37,0
"across·the·world·",24,28
"Act·of·",52,28
"act·on·",29,18
"activity·in·the·",0,28
"acts·as·",16,18
"adapt·to·",44,0
"add·to·the·growing·body·",0,14
"added:·We·",179,120
"added·that·",0,114
"added·the·",0,20
"added·to·the·",42,0
"address·to·",29,0
"adopted·a·",0,28
"advice·to·",66,0
"after·1pm·",0,16
"after·a·fire·broke·",0,14
"after·announcing·",16,32
"after·Brexit·but·",18,0
"after·drug·",0,16
"after·he·",182,252
"after·it·",228,270
"after·leaving·",86,14
"after·Ms·",14,0
"after·the·",2042,1026
"after·the·accident·",0,16
"after·the·company·",22,96
"after·three·",0,36
"again·-·",13,0
"again·at·",26,18
"again·on·",29,16
"against·Brexit·",109,0
"agencies·and·",18,0
"agree·that·",82,16
"agreed·to·pay·",14,0
"agreement·between·",78,54
"agreement·between·the·",52,14
"agreement·for·",32,0
"agreement·that·",0,18
"agreement·will·",38,56
"agreement·with·US·",0,22
"ahead·of·",964,206
"ahead·of·the·",329,46
"ahead·with·",134,28
"ahead·with·",134,0
"ahead·with·the·",19,16
"aid·to·",14,0
"aimed·to·",28,0
"aiming·for·",24,0
"Air·Ambulance·",0,64
"all·about·",79,22
"all·four·",34,14
"all·is·",26,0
"All·of·",32,0
"all·of·",0,268
"all·our·",113,22
"allowing·us·",19,0
"All·the·",67,0
"all·the·latest·",24,302
"all·the·latest·breaking·news·",15,296
"all·this·",0,14
"all·those·who·",32,14
"all·three·",0,68
"All·we·",14,0
"almost·as·",23,0
"along·the·",122,156
"also·be·",362,316
"also·has·a·",0,54
"also·help·",17,28
"also·in·",56,96
"also·include·",21,32
"also·like·to·",13,46
"also·said·",406,52
"also·to·",55,20
"also·took·",0,18
"Alternatively·contact·the·independent·charity·",0,14
"Alternatively·contact·the·independent·charity·Crimestoppers·",0,14
"although·it·",51,22
"always·been·",149,0
"Alzheimer's·disease·and·",0,14
"am·delighted·",37,36
"am·pleased·",29,30
"am·very·",40,0
"among·others.·",0,14
"amount·of·",272,0
"an·active·",25,28
"an·address·",16,78
"an·agreement·",317,226
"an·analyst·at·",17,14
"an·appropriate·",19,20
"an·attempt·to·",161,42
"an·average·",89,90
"an·earlier·",24,58
"an·early·",124,80
"an·emergency·",50,34
"an·evening·",0,14
"an·event·at·",17,0
"an·extension·of·",20,0
"an·extremely·",0,30
"an·important·",164,578
"an·inadequate·",0,44
"an·increase·in·the·",22,14
"an·increased·",27,50
"An·independent·",15,0
"an·informal·",18,0
"an·integral·part·of·",0,22
"an·international·",61,46
"an·investigation·",31,72
"an·officer·",0,28
"an·ongoing·",0,44
"an·unelected·",18,0
"Ana·Da·Silva·",0,16
"analysis·and·",48,34
"analysis·from·",16,18
"analysis·of·the·Phase·",0,14
"analyst·at·",131,32
"And·a·",31,0
"and·a·motorcycle·",0,20
"and·add·",16,16
"AND·add·your·point·of·view·",15,0
"and·address·",39,30
"and·after·",0,32
"and·all·",225,110
"and·also·",164,134
"and·answer·",15,0
"and·anti-Brexit·",14,0
"And·as·",32,14
"and·ask·",27,68
"and·biosimilar·",0,40
"and·Brexit·",281,0
"and·building·",31,22
"and·Burnham·Standard·",0,18
"and·can·",80,124
"and·Cardiff·",21,0
"and·change·",14,0
"and·chief·",52,798
"and·chief·executive·of·",13,300
"and·chips·",0,14
"and·commercial·milestone·",0,18
"and·cons·",15,0
"and·construction·",28,24
"and·consumer·",60,24
"and·continued·",35,32
"and·debate·",13,0
"and·demanded·",14,52
"and·democratic·",14,0
"and·developing·",18,50
"And·do·share·with·",0,296
"And·do·share·with·your·family·and·",15,296
"And·do·share·with·your·family·and·friends·-·",15,296
"and·down·the·",40,0
"and·drink·",173,0
"and·drink·",14,0
"and·drive·",18,20
"and·Drug·Administration·(FDA).·",0,14
"and·Drug·Administration·has·issued·",0,18
"and·Drug·Administration·in·",0,84
"and·early·",16,58
"and·eat·",55,0
"and·economic·uncertainty·",13,0
"and·effective·",26,0
"and·elsewhere·",15,20
"and·enable·",0,24
"and·energy·",34,0
"and·ensure·",76,50
"and·family·",25,44
"and·firefighters·",0,28
"and·five·",20,28
"and·food·",95,18
"and·found·the·",0,16
"and·four·",19,50
"and·free·",0,18
"and·free·trade·",14,0
"and·frictionless·",22,0
"and·friends·-·",15,300
"and·friends·-·so·they·don't·miss·",15,300
"and·friends·-·so·they·don't·miss·out!·",15,300
"and·funding·",29,18
"and·German·",53,16
"and·give·",101,20
"and·goods·",24,0
"and·got·",19,32
"and·growing·",20,32
"and·has·a·",23,36
"and·have·a·",40,38
"and·have·a·",0,38
"and·he·has·",22,20
"and·head·",26,170
"and·health·",39,0
"and·Healthcare·",14,32
"and·healthcare·",15,94
"and·her·",272,196
"and·Herald·",14,14
"and·hit·a·",0,22
"and·how·",0,84
"and·in·particular·",24,26
"and·increased·",48,44
"and·increasing·",22,32
"and·Ireland·",99,0
"and·is·",559,934
"and·is·an·",14,16
"and·is·eligible·",0,24
"and·it·will·",62,22
"and·its·",415,462
"and·Johnson·",14,24
"and·Journal·",164,138
"and·Latin·America.·",0,14
"and·led·",21,24
"and·less·",62,30
"and·long-term·",24,26
"and·lower·",39,30
"and·Merck·&·",0,28
"and·money·",25,20
"and·must·",61,22
"and·my·",89,24
"and·neck·squamous·cell·",0,18
"and·needs·",19,16
"and·North·",64,44
"and·now·",206,84
"and·one·of·",39,50
"and·over·",68,42
"and·parents·",0,14
"and·pediatric·patients·",0,14
"and·perhaps·",46,14
"and·plan·",18,14
"and·private·",48,40
"and·Professor·",0,14
"and·profit·",16,24
"and·protect·",38,16
"and·provides·",19,40
"and·quality·",21,0
"and·remain·",49,22
"and·remains·",13,42
"and·research·",38,78
"and·risks·",22,18
"and·run·",21,0
"and·said:·",31,0
"and·said·it·",57,24
"and·say·",56,0
"and·saying·",19,0
"and·Scotland.·",14,0
"and·security·",74,16
"and·services·",143,48
"and·set·",0,38
"and·several·",13,56
"and·should·",128,28
"and·significant·",14,30
"and·staff·",32,34
"and·stay·",29,0
"and·stop·",49,18
"and·sustainable·",23,22
"and·sustained·",0,52
"and·talk·",30,0
"and·technology·",0,50
"And·that·is·",14,0
"and·that's·",151,32
"and·the·",8466,4438
"and·the·European·",170,58
"and·the·market·",0,16
"and·the·Northern·Ireland·",14,0
"and·the·number·of·",0,20
"and·the·other·",54,30
"and·the·potential·",34,34
"and·the·public·",35,20
"and·the·University·of·",0,20
"and·there·",401,240
"and·Theresa·May·",39,0
"and·they·",389,164
"and·they·were·",18,18
"and·threatened·",18,52
"and·through·",21,30
"and·thus·",34,34
"and·to·",734,494
"and·told·",45,56
"and·trade.·",18,0
"and·trading·",33,0
"and·turn·",21,0
"and·type·2·",0,24
"and·ultimately·",20,38
"and·up·",19,88
"and·value·",0,78
"And·we·",58,18
"and·we·have·",114,26
"and·we're·",0,30
"and·were·",74,146
"and·when·",101,60
"and·when·",0,60
"and·who·",91,98
"and·will·be·",73,200
"and·with·the·",38,18
"and·within·",22,16
"Anglian·Daily·",36,84
"animal·health·",21,38
"announced·a·",100,176
"announced·at·",16,14
"announced·on·",22,56
"announced·positive·results·from·",0,14
"announced·positive·top-line·results·",0,14
"announcement·on·",0,26
"Annual·European·Congress·",0,16
"anonymously·on·0800·",0,58
"anonymously·via·",0,16
"another·referendum·",19,0
"any·chance·of·",17,0
"any·further·",48,32
"any·of·the·",85,56
"any·possible·",14,0
"any·sort·of·",20,0
"any·witnesses·to·the·",0,18
"Anyone·with·information·",0,668
"Anyone·with·information·about·",0,68
"anyone·with·information·to·contact·",0,16
"anything·about·",26,14
"anywhere·in·",31,44
"apart·from·",59,16
"Apart·from·",21,0
"appealing·for·anyone·",0,70
"appear·before·",22,28
"appear·on·",24,18
"appeared·before·",14,24
"applied·for·",37,18
"applied·for·",37,0
"applied·to·",56,64
"apply·to·",123,38
"appointed·a·",19,14
"appointed·a·",19,0
"approach·is·",0,24
"approach·to·",446,216
"approached·by·",0,70
"approval·anywhere·",0,20
"approved·by·",75,354
"approved·by·the·European·Medicines·Agency·",0,14
"approved·by·the·US·Food·and·",0,76
"April·1·",52,22
"April·13·",66,0
"April·24·2017·",39,128
"April·26·2017·",49,132
"April·28·2017·",56,146
"April·and·",20,20
"are·a·number·",31,24
"are·a·number·of·",31,24
"are·among·the·",0,32
"are·an·",56,56
"are·appealing·for·witnesses·following·a·",0,18
"are·becoming·",0,16
"are·both·",31,14
"are·both·",31,0
"are·calling·",51,18
"are·different·",21,0
"are·down·",22,0
"are·expected·to·",202,192
"are·for·",31,28
"are·in·place·",15,24
"are·in·the·process·",0,16
"are·interested·",16,0
"are·involved·in·",0,24
"are·keen·to·",36,114
"are·looking·forward·",0,48
"are·more·",195,0
"are·more·likely·",0,14
"are·moving·",39,0
"are·not·believed·to·",0,40
"are·of·",36,22
"are·often·",33,46
"are·only·",63,42
"are·our·",22,0
"are·planning·",0,26
"are·pleased·",20,274
"are·put·",24,0
"are·set·",0,50
"are·set·to·",95,38
"are·so·many·",25,0
"are·there·",27,0
"are·to·",0,90
"are·two·",61,46
"are·used·to·treat·",0,16
"are·welcome·",16,14
"are·working·to·",0,26
"area·is·",19,0
"areas·in·",0,16
"Argus·(Newsquest·Regional·",28,140
"arm·of·",21,68
"around·7.30pm·",0,14
"around·and·",22,22
"around·the·",657,656
"around·the·world.·",65,78
"array·of·",26,32
"arrived·at·",0,68
"arson·attack·",0,18
"Article·50·",198,0
"Article·50·of·",90,0
"as·a·",4055,2900
"as·a·potential·",21,94
"As·a·result·",34,86
"as·a·therapy·",0,14
"as·being·",108,108
"as·chief·medical·",0,18
"as·defined·by·",0,16
"as·defined·by·the·",0,14
"as·executive·",0,26
"as·it·is·",124,46
"as·of·",39,80
"As·of·",0,40
"as·one·of·",115,58
"as·other·",24,42
"as·planned·",13,14
"as·quickly·",41,64
"as·royalties·on·",0,14
"as·the·most·",39,14
"as·we·believe·",0,18
"as·we·prepare·",21,16
"as·we·prepare·",21,0
"as·we·prepare·to·",14,14
"as·we·seek·to·",0,14
"as·well·as·",821,1356
"as·white·",0,44
"Asia·and·",21,22
"ask·the·",61,16
"asked·for·",76,46
"asked·how·",24,0
"asked·to·",0,824
"asked·to·call·West·",0,30
"asked·to·contact·police·",0,72
"aspects·of·",0,76
"assaulted·a·",0,34
"assessment·by·the·",0,14
"Association·of·",0,128
"Association·of·the·British·",24,38
"Aston·Martin·",14,0
"At·a·",13,0
"at·a·home·in·",0,22
"at·a·later·date.·",0,16
"at·any·",129,36
"at·any·",0,36
"at·any·time·",24,18
"at·City·",22,0
"at·each·",15,18
"at·her·",63,50
"at·his·",94,66
"at·home·",94,48
"at·last·",61,20
"at·least·some·",17,0
"at·Merck·",0,16
"at·present·",34,14
"at·present·",0,14
"at·risk·",28,16
"at·the·centre·",61,16
"At·the·end·of·",22,26
"at·the·event·",32,16
"at·the·forefront·of·",33,32
"at·the·front·",13,34
"at·the·helm·",0,16
"at·the·junction·",0,172
"at·the·same·",160,88
"at·the·time.·",16,50
"at·the·time·of·",52,116
"at·the·UK·",26,0
"at·two·",0,30
"at·which·",89,28
"at·which·the·",19,0
"attack·at·",0,24
"attacked·for·",13,0
"attempt·to·",479,90
"attempting·to·",118,60
"attended·the·",50,274
"attention·to·",59,0
"attention·to·the·",19,24
"Attorney·General·",58,22
"August·11·",71,0
"August·14·2016·",21,48
"August·14·2016·",0,48
"August·15·",108,126
"August·18·2016·",39,162
"August·18·2016·Thursday·",18,98
"August·19·",80,112
"August·19·2016·",47,110
"August·20·2016·Saturday·",0,44
"August·21·",62,30
"August·23·2016·Tuesday·",14,92
"August·29·",105,86
"August·29·2016·Monday·",13,44
"August·3·2016·Wednesday·",22,14
"August·5·2016·Friday·",16,82
"August·8·2016·",40,104
"autologous·stem·",0,30
"available·on·the·",13,72
"available·to·the·",21,38
"away·and·",29,20
"back·an·",16,0
"back·at·",83,34
"back·control·of·",137,0
"back·from·",124,20
"Back·in·",0,52
"back·into·the·",40,16
"back·to·the·",208,56
"backed·by·",154,46
"bad·deal·for·",15,0
"bad·news·",0,18
"based·at·",24,50
"based·on·a·",76,0
"basis·to·",0,20
"Bath·Chronicle·",32,14
"Bayer·(BAYN:·DE)·",0,54
"BBC·Monitoring·",0,36
"BBC·Worldwide·Monitoring·",88,26
"be·a·member·of·the·",0,14
"be·able·to·",872,346
"be·able·to·get·",19,0
"be·added·to·",15,14
"be·allowed·to·",186,22
"be·amongst·",14,0
"be·attributed·",14,0
"be·available·",0,144
"be·catastrophic·for·",16,0
"be·contacted·anonymously·on·",0,14
"be·dealt·with·",18,16
"be·detrimental·",16,0
"be·discussed·",32,0
"be·done·",199,24
"be·expected·",52,20
"be·further·",35,22
"be·given·a·",78,22
"be·given·a·",78,0
"be·heard·",59,18
"be·held·to·",24,0
"be·implemented·",36,18
"be·important·",16,0
"be·in·the·",178,0
"be·in·the·",0,74
"be·included·",50,28
"be·involved·in·",31,14
"be·led·by·",21,0
"be·managed·",18,16
"be·offered·",39,18
"be·one·",132,66
"be·one·of·the·",68,0
"be·open·to·",29,20
"be·part·of·",0,36
"be·passed·",36,0
"be·published·",0,42
"be·published·in·",16,14
"be·reached·",61,14
"be·remembered·",24,14
"be·required·",58,36
"be·required·to·",36,0
"be·responsible·",23,210
"be·responsible·for·all·",0,18
"be·reviewed·",0,36
"be·significantly·",13,16
"be·taken·",164,94
"be·taken·to·",28,26
"be·the·",1166,448
"be·treated·",52,0
"be·up·to·",19,0
"be·used·to·",82,110
"be·used·to·",0,110
"be·very·",0,32
"became·clear·",14,14
"because·I·",138,20
"because·it·",363,116
"because·it·is·",91,22
"because·of·a·",0,26
"because·the·",394,66
"because·they·",312,66
"because·they·have·",21,0
"because·they're·",14,0
"becomes·a·",34,22
"becomes·the·",18,14
"been·able·",53,78
"been·allowed·to·",18,0
"been·an·",109,66
"been·announced·",14,24
"been·appointed·",19,44
"been·approved·by·",0,28
"been·asked·",48,20
"been·cleared·",0,26
"been·described·",0,58
"been·established·",0,20
"been·fully·",19,0
"been·given·a·",22,64
"been·hit·by·",34,16
"been·identified·",17,36
"been·identified·",0,36
"been·involved·",21,72
"been·looking·",24,0
"been·made.·",23,0
"been·more·",61,26
"been·placed·on·",0,14
"been·proven·",15,18
"been·published·",16,32
"been·reported·",18,48
"been·seen·",34,42
"been·sent·",14,18
"before·a·",97,64
"before·her·",0,18
"before·his·",22,20
"before·making·",0,32
"before·taking·",0,18
"before·the·referendum·",40,0
"behind·this·",17,14
"being·asked·to·",0,24
"being·developed·for·",0,50
"being·hunted·",0,22
"being·left·",29,0
"being·tested·",0,16
"being·urged·",26,14
"believe·a·",45,20
"believe·he·",17,28
"believe·that·",406,270
"believe·there·is·",19,0
"believe·will·",0,26
"benefit·to·",34,58
"benefiting·from·",34,20
"benefits·to·",35,38
"benefitted·from·",13,14
"best·for·",91,14
"best·of·the·",20,0
"best·possible·",188,26
"best·possible·",188,0
"best·to·",95,28
"better·off.·",16,0
"between·6pm·",0,18
"between·a·van·and·a·",0,32
"between·April·",15,0
"between·June·",15,0
"between·north·",13,0
"between·the·UK·and·the·EU·",67,0
"between·two·",34,38
"bid·to·",354,128
"BIIB)·has·",0,32
"bilateral·trade·",14,0
"billion·kroner·",0,46
"billion·to·",61,116
"billions·of·",99,0
"Bill·to·",77,0
"Bioepis·a·joint·",0,14
"biosimilar·monoclonal·",0,14
"Biotech·a·subsidiary·of·",0,20
"Birmingham·Mail·Floor·6·Fort·Dunlop·Fort·",16,0
"bits·of·",24,0
"blame·on·",18,0
"blamed·for·",50,20
"blaze·in·",0,34
"bloc·in·",34,0
"blue·Vauxhall·",0,14
"Board·of·Directors·",0,14
"body·to·",23,14
"Bolton·News·",24,62
"book·on·",22,0
"boost·the·",71,22
"boosted·by·",53,24
"border·on·the·island·",48,0
"Boris·and·",19,0
"Boris·Johnson·on·",16,0
"boss·warns·",13,0
"both·a·",34,24
"both·from·",0,24
"both·in·",74,52
"both·our·",18,18
"both·sides·of·the·",168,14
"both·the·single·market·",13,0
"bottle·of·",57,54
"bottles·of·",14,26
"Bradford·Telegraph·",28,72
"branch·of·",27,26
"brandishing·a·",0,20
"break·in·",0,20
"breaking·news·where·you·live.·",15,296
"Bresch·said:·",0,14
"Brexit·at·all·",17,0
"Brexit·bill·",22,0
"Brexit·campaign·",93,0
"Brexit·can't·",13,0
"Brexit·deal.·",21,0
"Brexit·deal·with·",41,0
"Brexit·demands·",19,0
"Brexit·is·still·",17,0
"Brexit·means·Brexit.·",26,0
"Brexit·minister·Michael·Russell·",25,0
"Brexit·Mr·",39,0
"Brexit·said·",28,0
"Brexit·was·",13,0
"Brexit·was·to·",14,0
"Brexit·will·not·be·",13,0
"Brexit·with·a·",22,0
"bring·down·",44,14
"bring·forward·",42,16
"bring·together·",22,20
"brings·to·",17,24
"Britain·will·",348,0
"British·Broadcasting·",88,26
"British·Broadcasting·",88,0
"broke·into·the·",0,28
"brought·about·",24,0
"brought·in·",51,70
"brought·in·",51,0
"brought·the·",32,20
"Brussels:·ABLX)·",0,26
"Brussels·is·",75,0
"budget·for·",21,24
"build·a·new·",18,28
"build·an·",20,20
"building·in·",24,36
"building·on·",17,46
"built·on·",0,16
"buoyed·by·",21,0
"burden·on·",24,0
"BUSINESS;·Pg.·",758,72
"BUSINESS;·Pg.·35·",22,0
"business·at·",16,0
"business·chiefs·",22,0
"business·community·",13,0
"business·has·",44,0
"Business·Media·",134,184
"Business·Monitor·International·Ltd.·",0,148
"businesses·and·",250,18
"businesses·need·to·",16,0
"businesses·who·",28,0
"busy·city·",0,14
"But·a·",111,36
"but·also·the·",40,16
"but·an·",27,16
"but·are·",56,24
"but·at·",81,14
"but·did·not·",21,28
"but·have·",42,34
"but·his·",38,34
"but·I·",403,0
"but·if·",138,14
"but·in·",138,20
"but·is·",126,78
"but·it·does·",22,0
"But·now·",31,0
"but·one·",57,16
"But·she·",118,14
"But·she·said·",17,0
"but·so·",20,0
"But·the·Prime·Minister·",17,0
"But·this·",83,16
"by·a·group·",13,0
"by·all·",69,24
"by·an·",189,168
"by·at·",21,14
"by·at·least·",19,14
"by·calling·",31,120
"by·clicking·on·",17,300
"by·clicking·on·sign·in'·(top·right·corner).·",15,300
"by·clicking·on·sign·in'·(top·right·corner).·You·",15,300
"By·combining·",0,16
"By·David·",14,0
"by·doing·",14,0
"by·Dr·",16,32
"by·former·",69,0
"by·increasing·",0,16
"by·local·",22,14
"by·local·",0,14
"By·Lucinda·Cameron·Press·Association·Scotland·",0,20
"by·May·",19,0
"by·members·",0,14
"by·members·of·",16,14
"by·nearly·",32,48
"BY·NO·BYLINE·AVAILABLE·",68,20
"BY·NO·BYLINE·AVAILABLE·",0,20
"by·one·",54,32
"by·patients·",0,20
"by·running·",0,14
"by·some·",107,50
"By·the·",0,18
"by·the·end·of·the·",82,60
"by·the·missing·item·",0,28
"by·the·missing·item·and·your·name·and·address.·",0,26
"by·the·Prime·Minister·",32,0
"by·two·",46,68
"by·up·",46,0
"by·up·to·",46,32
"by·using·",26,30
"BYLINE:·ANDY·",0,18
"BYLINE:·By·Ben·Philip·Press·",0,14
"BYLINE:·Chris·Green·",22,0
"BYLINE:·David·",213,50
"BYLINE:·DAVID·",103,0
"BYLINE:·Drew·",26,0
"BYLINE:·FIONA·",21,14
"BYLINE:·HARRY·",60,0
"BYLINE:·Jennifer·",36,34
"BYLINE:·Jim·",28,0
"BYLINE:·Johann·",17,0
"BYLINE:·JOHN·",25,18
"BYLINE:·Kalyeena·Makortoff·",14,0
"BYLINE:·Laura·",36,0
"BYLINE:·Lindsay·Razaq·",13,0
"BYLINE:·MICHAEL·",26,0
"BYLINE:·NICK·",15,18
"BYLINE:·PR·",118,388
"BYLINE:·PR·Script·",105,0
"BYLINE:·Richard·",69,22
"BYLINE:·ROB·",0,16
"BYLINE:·Sam·",59,18
"BYLINE:·Simon·",56,14
"BYLINE:·STEPHEN·",27,24
"BYLINE:·STEPHEN·DEAL·",20,0
"called·for·a·second·",14,0
"called·on·the·",170,14
"called·out·to·",0,48
"call·for·",343,32
"calling·it·",29,18
"call·on·",74,20
"call·our·",0,90
"came·hours·",13,0
"came·to·the·",29,20
"campaign·-·",0,14
"campaign·to·",151,44
"campaigning·for·",65,0
"can·be·",1186,0
"can·be·contacted·anonymously·",0,14
"can·benefit·from·",0,24
"can·continue·to·",0,18
"can·just·",18,0
"can·move·on·",14,0
"can·only·be·",81,18
"can·secure·",15,0
"can·take·",94,58
"can't·be·",111,0
"Canada·and·",53,0
"cancer·(NSCLC).·",0,40
"cancer·patients·",0,14
"cancer·treatment·",0,76
"cancers·in·",0,14
"candidate·for·",54,70
"candidates·in·",32,32
"cannabis·for·",0,14
"cap·on·",45,20
"capabilities·of·",0,14
"capable·of·",85,32
"car·near·",0,22
"CARDIFF·WALES·GBR·CF1·3XT·",38,54
"cardiovascular·events·in·",0,18
"care·in·",19,68
"Carolyn·Fairbairn·",27,0
"carried·out·in·",19,32
"carried·out·in·",19,0
"carrying·on·",14,20
"cars·in·",20,20
"castration-resistant·prostate·",0,16
"catch·up·",16,14
"caught·up·",34,18
"caused·a·",41,78
"caused·the·",22,0
"CCTV·image·",0,160
"CCTV·image·of·a·",0,86
"CCTV·image·of·a·man·they·want·",0,20
"CCTV·images·have·been·",0,14
"Celltrion·(Kosdaq:·",0,14
"cent·up·",14,0
"Center·for·the·Study·of·",0,14
"centre·of·",118,48
"CEO·of·",46,156
"chain·of·",17,18
"chairman·John·",15,0
"chairman·of·the·",0,120
"challenged·by·",21,18
"challenged·the·",19,14
"chance·of·",202,60
"chance·to·vote·",28,0
"Chancellor·Angela·Merkel·",46,0
"change·the·",141,86
"changes·in·the·",39,28
"changes·to·",256,144
"changes·to·the·",86,64
"Channel·4·",13,14
"charged·with·having·",0,14
"charges·of·",0,38
"charging·excessive·",0,18
"Chief·executive·",98,138
