"n.gram","n.size","G","cpr","dice","ll","f","freq_first_word","freq_last_word","rating"
"a·vital·",2,8.5896,0.60237,0.00057694,264.3,161,557551,563,"F"
"the·external·",2,8.6292,0.15778,0.00021842,29.822,216,1976066,1733,"T"
"incorporated·as·",2,9.4523,0.4829,0.0010356,170.77,112,981,205653,"U"
"of·communication·",2,9.5423,0.22931,0.00033692,89.9,164,966326,1269,"U"
"the·previously·",2,8.4042,0.053166,0.00016771,15.036,166,1976066,3484,"F"
"each·of·the·NUM·",4,4.9201,0.16692,0.00024847,0,244,16214,1001604,"T"
"considered·an·",2,9.789,0.3014,0.003513,204.71,145,6895,106400,"F"
"may·be·used·",3,6.9221,0.52665,0.0081415,0,244,20122,27170,"T"
"the·class·",2,10.966,0.1153,0.00044906,2.9732,201,1976066,5855,"U"
"from·NUM·until·NUM·",4,17.06,0.40013,0.0009121,0,464,138331,1001604,"T"
"organizations·such·as·",3,1.6923,0.65189,0.0013582,0,104,1939,205653,"U"
"the·reason·",2,10.842,0.34539,0.00055101,307.01,293,1976066,2129,"T"
"especially·those·",2,9.7156,0.69286,0.020556,515.99,174,5373,11556,"F"
"without·being·",2,10.582,0.46843,0.010704,305.89,155,8710,20250,"F"
"music·videos·",2,11.171,0.89149,0.035464,1123.9,215,11742,665,"T"
"to·understand·",2,11.169,0.6919,0.0016052,1097.7,336,590991,847,"T"
"the·evidence·",2,9.3038,0.1121,0.00026567,1.8131,263,1976066,3835,"T"
"Papua·New·Guinea·",3,8.6983,0.95158,0.020577,0,135,178,661,"T"
"or·sometimes·",2,10.381,0.15044,0.0028191,125.22,130,86142,6086,"F"
"of·key·",2,7.1768,0.069234,0.00018784,1.7681,98,966326,2575,"F"
"modern·-·day·",3,8.7692,0.94337,0.0024349,0,265,8836,12603,"T"
"of·the·USSR·",3,5.2937,0.64681,0.00011927,0,145,966326,438,"T"
"the·box·",2,10.864,0.2606,0.0003671,175.11,167,1976066,1587,"T"
"to·transport·",2,11.884,0.86217,0.00057169,449.79,169,590991,234,"T"
"once·again·",2,16.525,0.95132,0.15792,5203.1,958,5355,7905,"T"
"a·bridge·",2,8.7332,0.22732,0.00059733,129.96,172,557551,1605,"T"
"about·NUM·miles·",3,4.9236,0.9309,0.0002917,0,166,14908,1673,"T"
"c·NUM·",2,13.127,0.80919,0.0013344,1330.9,621,1078,1001604,"T"
"in·parallel·",2,10.071,0.5778,0.00036648,225.95,189,741837,368,"T"
"the·San·",2,12.306,0.25497,0.00079784,265.12,154,1976066,4293,"F"
"the·Imperial·Japanese·Navy·",4,10.561,0.88108,0.00017362,0,86,1976066,2752,"U"
"of·mass·",2,10.878,0.24881,0.0003886,124.01,266,966326,1256,"U"
"the·Soviet·Union·",3,3.5352,0.87846,0.002742,0,1755,1976066,5585,"T"
"a·storm·",2,7.4705,0.21701,0.00047262,124.12,132,557551,1032,"U"
"the·arms·",2,8.9442,0.15204,0.0002275,23.119,143,1976066,1973,"T"
"the·weather·",2,8.9076,0.20165,0.00018004,35.5,179,1976066,1253,"T"
"this·allows·",2,11.15,0.43167,0.0055788,540.69,172,83950,2449,"F"
"of·science·",2,11.513,0.18851,0.00092975,218.98,352,966326,3831,"F"
"an·average·of·NUM·",4,-0.65667,0.7431,0.00052989,0,292,106400,1001604,"T"
"secondary·schools·",2,10.472,0.71499,0.047321,703.01,155,2074,4477,"T"
"a·natural·",2,11.245,0.31506,0.0016974,374.8,400,557551,4499,"F"
"in·the·event·of·",4,8.5596,0.29619,0.00022772,0,133,741837,966326,"T"
"of·violence·",2,9.8295,0.24962,0.00042778,128.38,198,966326,1458,"U"
"NUM·of·whom·",3,17.398,0.23882,0.00028913,0,199,1001604,3523,"T"
"became·more·",2,7.8826,0.23958,0.0040776,67.497,438,21767,17974,"U"
"to·destroy·",2,10.446,0.72822,0.0014568,1036.4,268,590991,714,"T"
"which·was·used·",3,17.306,0.2658,0.00097088,0,132,92728,27170,"U"
"it·is·generally·",3,3.3163,0.50491,0.0013448,0,180,125578,5710,"F"
"the·empire·",2,12.778,0.29899,0.001058,800.96,259,1976066,3181,"T"
"platform·for·",2,9.0048,0.34926,0.0011691,159.66,131,1743,222363,"U"
"much·higher·",2,10.451,0.855,0.032527,723.77,149,7827,4655,"T"
"its·influence·",2,0,0,0,1.7372,84,0,3896,"T"
"NUM·U·S·",3,14.242,0.12202,0.0015746,0,423,1001604,13768,"F"
"performed·at·",2,9.6906,0.27301,0.0017744,178.45,178,1693,125676,"U"
"were·responsible·for·",3,11.302,0.46235,0.0010077,0,106,90681,222363,"U"
"the·institution·",2,9.5283,0.29541,0.00022559,105.2,223,1976066,994,"T"
"a·target·",2,9.3843,0.29323,0.00075488,216.14,211,557551,1477,"T"
"NUM·thus·",2,6.8258,0.053543,0.00019031,62.131,178,1001604,7265,"F"
"of·the·system·",3,-1.1104,0.075695,0.00043588,0,430,966326,17123,"T"
"NUM·person·",2,7.9205,0.22268,0.00040964,10.976,206,1001604,4147,"U"
"the·summer·of·NUM·",4,5.9886,0.72518,0.00088969,0,126,1976066,1001604,"T"
"the·James·",2,8.4439,0.050395,0.00017064,45.894,169,1976066,4694,"U"
"a·japanese·",2,10.575,0.22676,0.0015266,173.51,308,557551,7109,"F"
"after·taking·",2,9.9205,0.5025,0.0051296,265.59,140,51135,3450,"F"
"this·feature·",2,9.8725,0.40867,0.0033434,273.05,144,83950,2189,"T"
"Paul·'·s·",3,-7.5664,0.29632,0.0011974,0,139,4007,81513,"U"
"to·a·NUM·",3,-6.489,0.015383,0.00099342,0,208,590991,1001604,"F"
"the·jewish·",2,11.948,0.29907,0.00064887,316.75,422,1976066,2756,"F"
"to·show·",2,15.562,0.83358,0.0029406,2128.4,556,590991,1399,"T"
"by·Thomas·",2,10.085,0.24951,0.0016937,169.43,170,197397,3350,"U"
"New·Jersey·",2,11.834,0.99155,0.097413,5702.2,618,18843,1216,"T"
"the·danish·",2,10.369,0.50565,0.00034195,315.21,339,1976066,856,"F"
"a·severe·",2,9.4547,0.42089,0.00086605,299.95,242,557551,1310,"U"
"equal·to·NUM·",3,8.9741,0.28617,0.00028974,0,159,1958,1001604,"T"
"between·NUM·and·NUM·",4,11.824,0.61414,0.0052506,0,2754,28684,1001604,"T"
"the·NUM·are·",3,-0.41503,0.0086569,0.000083657,0,85,1976066,106340,"F"
"the·theatre·",2,10.61,0.31782,0.00032972,167.56,326,1976066,1365,"T"
"the·revolutionary·",2,9.3981,0.24597,0.00020638,97.22,195,1976066,904,"U"
"the·house·",2,13.656,0.34326,0.0011955,638.78,263,1976066,4764,"T"
"de·Paris·",2,9.1513,0.33382,0.015706,349.32,128,11251,3775,"U"
"of·the·total·",3,5.8107,0.31263,0.00046831,0,244,966326,4362,"T"
"Chapter·NUM·",2,8.5575,0.70807,0.00043113,386.52,222,411,1001604,"T"
"the·campaign·",2,12.725,0.21183,0.00077465,254.63,442,1976066,4193,"T"
"a·very·small·",3,-1.2495,0.53348,0.00064264,0,124,557551,10357,"U"
"include·an·",2,8.7694,0.14739,0.0016735,32.371,138,9525,106400,"F"
"at·the·University·of·",4,3.348,0.69571,0.0020557,0,1401,125676,966326,"T"
"national·and·international·",3,2.411,0.74232,0.0005328,0,142,8851,7660,"U"
"NUM·would·",2,10.85,0.037245,0.00076239,293.98,275,1001604,31986,"F"
"Pope·Pius·",2,9.5644,0.94172,0.12802,1324.6,128,2620,442,"T"
"the·Father·",2,9.3491,0.24543,0.00022664,175.44,156,1976066,671,"U"
"households·out·of·which·NUM·%·had·children·under·",9,7.7462,0.96502,0.0010435,0,253,1327,22620,"F"
"in·Spanish·",2,7.8179,0.25018,0.00039833,98.233,150,741837,1267,"T"
"generally·accepted·",2,11.267,0.89023,0.032773,515.25,126,5710,1430,"T"
"in·Hollywood·",2,8.6177,0.33666,0.00052495,192.73,195,741837,1095,"T"
"held·for·",2,8.3371,0.1386,0.0011353,37.078,163,6650,222363,"U"
"the·Mughal·",2,8.0555,0.62955,0.00015078,193.64,149,1976066,267,"F"
"a·less·",2,10.35,0.20017,0.00076352,108.73,246,557551,3007,"F"
"the·television·series·",3,3.496,0.21085,0.00022565,0,151,1976066,13201,"T"
"in·this·respect·",3,11.915,0.63453,0.00026841,0,74,741837,1321,"T"
"the·laws·",2,10.838,0.1823,0.00035485,86.002,141,1976066,2241,"T"
"with·NUM·points·",3,6.0276,0.42954,0.00046255,0,185,193898,4373,"T"
"of·the·living·",3,1.8699,0.025088,0.000061111,0,89,966326,3063,"U"
"the·roof·",2,10.25,0.45294,0.00027923,234.72,191,1976066,765,"T"
"the·old·",2,14.1,0.35742,0.0021531,1258.2,1039,1976066,8045,"U"
"the·shock·",2,6.9144,0.20221,0.000079936,19.578,79,1976066,518,"U"
"NUM·short·",2,7.9285,0.074989,0.0003414,5.7301,206,1001604,6009,"F"
"a·universal·",2,8.5837,0.33532,0.00057288,175.22,160,557551,1031,"F"
"NUM·John·",2,9.285,0.054295,0.00052745,20.114,231,1001604,10823,"U"
"political·party·",2,11.217,0.63863,0.037558,1070.5,160,9887,6834,"T"
"the·speech·",2,8.9333,0.12273,0.00019615,8.9772,183,1976066,2054,"T"
"in·South·",2,13.785,0.2366,0.003926,1275.2,522,741837,9566,"U"
"on·the·ground·",3,-5.4963,0.6845,0.0005491,0,401,200123,3745,"U"
"day·-·to·-·day·",5,8.5469,0.93176,0.00048669,0,134,12603,12603,"T"
"t·NUM·",2,10.394,0.10807,0.00080765,14.122,369,8734,1001604,"F"
"in·NUM·after·",3,8.9638,0.12346,0.0020997,0,995,741837,51135,"F"
"was·NUM·years·old·",4,3.6332,0.65429,0.0011078,0,277,287981,8045,"U"
"in·principle·",2,8.1372,0.2617,0.00041975,93.533,156,741837,1460,"T"
"in·NUM·at·the·age·of·NUM·",7,7.4841,0.41868,0.00025009,0,184,741837,1001604,"U"
"the·Khmer·Rouge·",3,9.2632,0.77975,0.00020487,0,135,1976066,356,"T"
"a·position·",2,12.051,0.2545,0.0021909,428.88,466,557551,6591,"U"
"born·NMONTH·NUM·",3,17.856,0.39624,0.0044142,0,260,12049,1001604,"T"
"it·features·",2,10.768,0.54986,0.0035604,467.88,160,125578,1934,"T"
"to·beat·",2,11.51,0.72522,0.00057841,407.81,171,590991,289,"T"
"a·strict·",2,8.1584,0.46498,0.00049085,183.47,136,557551,666,"F"
"NUM·regions·",2,8.1885,0.15612,0.00030271,15.092,151,1001604,2653,"T"
"during·his·reign·",3,0,0,0,0,133,36197,2304,"T"
"a·few·weeks·",3,0.60461,0.88824,0.0011457,0,156,557551,2633,"T"
"fire·on·",2,8.7153,0.20309,0.0011395,79.208,133,3476,200123,"F"
"of·the·station·",3,9.3674,0.14126,0.00016181,0,159,966326,5494,"U"
"NUM·public·",2,7.7624,0.057514,0.00031091,37.421,179,1001604,8332,"F"
"an·interesting·",2,8.2119,0.80185,0.002393,357.41,128,106400,580,"F"
"to·replace·",2,12.029,0.87799,0.0030396,2443.2,486,590991,1198,"T"
"awards·for·",2,9.7582,0.24886,0.0018544,238.28,138,3048,222363,"U"
"NUM·elements·",2,8.8003,0.1453,0.0003502,9.6949,176,1001604,3538,"T"
"cut·off·",2,11.628,0.87666,0.022484,324.25,265,378,5226,"T"
"in·Germany·",2,13.654,0.36226,0.003868,1627.7,1065,741837,6867,"T"
"ethnic·group·",2,10.928,0.85886,0.031049,896.38,224,2016,12413,"T"
"Article·NUM·",2,8.8847,0.84905,0.00066463,737.02,186,458,1001604,"T"
"police·officers·",2,11.256,0.78446,0.068736,785.97,161,2302,2208,"T"
"to·generate·",2,10.895,0.79734,0.0012678,918.34,375,590991,601,"T"
"the·formal·",2,9.4248,0.18728,0.00025784,45.093,255,1976066,1870,"F"
"Linux·kernel·",2,8.4793,0.75424,0.11608,424.47,60,694,357,"T"
"the·theoretical·",2,7.9799,0.22376,0.00014467,43.141,142,1976066,836,"U"
"ended·up·",2,12.367,0.94386,0.031077,1220.7,361,2000,17693,"T"
"in·West·",2,10.415,0.13985,0.0010405,113.76,330,741837,5870,"F"
"doing·so·",2,12.221,0.93084,0.042567,596.26,241,1396,13029,"T"
"have·fallen·",2,6.3975,0.70312,0.0027773,152.06,72,22647,556,"U"
"the·world·'·s·largest·",5,5.1542,0.88616,0.00070037,0,274,1976066,6844,"U"
"professional·career·",2,10.354,0.60428,0.036742,914.61,127,4057,9388,"T"
"views·on·",2,10.61,0.57268,0.0024985,487.36,178,1600,200123,"U"
"in·South·Africa·",3,13.438,0.39997,0.0014655,0,369,741837,3983,"T"
"by·either·",2,10.446,0.31728,0.00092352,91.429,161,197397,1840,"F"
"all·NUM·",2,15.176,0.17597,0.0036896,301.12,1241,27764,1001604,"T"
"were·issued·",2,10.938,0.59249,0.0037612,422.86,173,90681,1311,"T"
"the·bill·",2,10.7,0.45515,0.00037834,331.77,375,1976066,994,"T"
"the·decoration·",2,6.3511,0.19572,0.000064766,30.694,64,1976066,290,"T"
"NUM·%·of·the·population·were·below·the·poverty·",9,11.16,0.95715,0.00028566,0,192,1001604,963,"F"
"he·also·wrote·",3,14.73,0.62531,0.001884,0,139,142682,6597,"U"
"a·name·",2,9.5555,0.076033,0.0013451,6.5657,317,557551,16374,"T"
"in·NMONTH·NUM·but·",4,12.414,0.21073,0.00046022,0,259,741837,57399,"F"
"Boston·University·",2,7.0717,0.69059,0.0092724,227.94,72,1477,14053,"T"
"the·Sea·",2,9.9031,0.1592,0.00042651,96.488,134,1976066,2774,"T"
"the·iranian·",2,8.9381,0.41139,0.00020742,159.29,203,1976066,619,"F"
"in·NMONTH·NUM·",3,21.694,0.49204,0.040911,0,10232,741837,1001604,"T"
"of·worship·",2,9.6246,0.40292,0.00036193,185.28,162,966326,713,"U"
"of·medical·",2,8.6758,0.1213,0.00028898,13.07,139,966326,2584,"F"
"while·the·NUM·",3,-4.5744,0.027044,0.00012891,0,136,24405,1001604,"F"
"each·other·'·s·",4,-3.0745,0.43291,0.0012713,0,145,16214,83240,"U"
"NMONTH·NUM·-·NUM·",4,23.993,0.17778,0.0026828,0,227,119962,1001604,"U"
"coincides·with·",2,6.3176,0.9451,0.00093817,375.59,91,97,193898,"U"
"in·central·",2,10.257,0.17655,0.0012234,208.23,456,741837,5241,"F"
"however·these·",2,9.6707,0.24386,0.0072618,199.83,195,25006,28700,"F"
"covered·with·",2,11.933,0.68923,0.0032753,715.72,265,1506,193898,"T"
"of·his·career·",3,0,0,0,0,364,966326,9388,"U"
"consisting·of·",2,9.9256,0.9308,0.002631,3418.7,637,1374,966326,"T"
"by·local·",2,10.442,0.17935,0.0025762,157.67,266,197397,9105,"F"
"was·always·",2,8.9146,0.39877,0.0017484,240.82,255,287981,3706,"U"
"the·organization·",2,12.598,0.31752,0.00072353,347.71,443,1976066,3106,"T"
"the·drug·",2,9.2607,0.22714,0.00020128,50.753,197,1976066,1256,"T"
"of·real·",2,9.6743,0.094207,0.00050484,26.492,246,966326,4269,"F"
"during·World·War·II·",4,15.597,0.85753,0.050905,0,828,36197,9523,"T"
"the·end·of·NUM·",4,2.1433,0.19851,0.0008625,0,207,1976066,1001604,"T"
"a·medium·",2,9.0765,0.26452,0.00053704,151.96,190,557551,1069,"T"
"large·part·of·",3,0.74349,0.4,0.00043552,0,68,12770,966326,"T"
"for·the·next·NUM·",4,-3.591,0.52325,0.00046649,0,127,222363,1001604,"F"
"is·currently·",2,14.839,0.65939,0.011904,3817.2,1640,270267,5260,"U"
"her·son·",2,0,0,0,1.7372,426,0,7937,"T"
"in·the·chinese·",3,2.644,0.087209,0.00015416,0,140,741837,6474,"F"
"a·newspaper·",2,8.4642,0.1886,0.00051495,88.9,144,557551,1732,"T"
"were·considered·",2,10.714,0.49518,0.0068459,523.59,274,90681,6895,"T"
"Louis·XIV·",2,10.87,0.9989,0.1268,1796.4,255,3656,366,"T"
"often·used·for·",3,0.17179,0.25758,0.0008188,0,73,14267,222363,"U"
"the·entrance·",2,10.404,0.3905,0.0003136,228.65,171,1976066,977,"T"
"the·Crusaders·",2,7.7139,0.62765,0.00013865,210.65,137,1976066,203,"T"
"the·date·",2,11.434,0.19813,0.00049017,140.14,252,1976066,2856,"T"
"died·of·",2,9.6281,0.15253,0.001157,150.89,404,6846,966326,"U"
"her·life·",2,0,0,0,1.7372,203,0,14585,"T"
"in·certain·",2,10.191,0.20743,0.00095438,156.36,355,741837,4196,"F"
"death·in·NUM·",3,9.0928,0.32583,0.0015851,0,127,11027,1001604,"T"
"the·NBA·",2,9.6233,0.40475,0.00035911,284.22,255,1976066,1039,"T"
"World·Heritage·",2,10.2,0.95928,0.034823,1492.1,160,15947,651,"T"
"is·no·longer·",3,-3.1742,0.70674,0.0037207,0,324,270267,2515,"F"
"was·the·daughter·of·",4,7.3135,0.2292,0.00016943,0,136,287981,966326,"T"
"China·as·",2,6.8239,0.074468,0.00062661,2.0853,83,8196,205653,"F"
"among·the·NUM·",3,-4.4044,0.10587,0.00018271,0,181,10632,1001604,"U"
"worked·on·",2,10.348,0.42611,0.003031,469.54,270,1161,200123,"T"
"in·Africa·",2,9.3759,0.17202,0.0013059,335.57,416,741837,3983,"T"
"the·romantic·",2,8.7601,0.21958,0.00016794,67.157,160,1976066,820,"F"
"is·within·",2,8.3868,0.061484,0.00093443,2.4548,60,270267,12257,"U"
"at·the·expense·of·",4,5.3332,0.94179,0.00028418,0,145,125676,966326,"T"
"per·capita·",2,9.4553,0.9944,0.15081,3844.2,211,6696,611,"T"
"is·primarily·",2,11.038,0.35385,0.0023289,442.32,318,270267,2826,"F"
"by·taking·",2,11.082,0.35358,0.0020015,221.69,202,197397,3450,"F"
"the·international·community·",3,1.2094,0.66627,0.00016291,0,108,1976066,5105,"U"
"will·become·",2,9.0043,0.64616,0.015123,446.39,167,17221,4864,"T"
"match·with·",2,8.8181,0.17331,0.0013889,82.262,141,4826,193898,"U"
"NUM·way·",2,6.9263,0.065604,0.00035414,39.48,181,1001604,9301,"T"
"a·greek·",2,8.8956,0.2128,0.00081173,77.295,229,557551,4213,"T"
"to·serve·",2,14.102,0.85327,0.0036712,2667.2,461,590991,1737,"T"
"the·Arabs·",2,8.0871,0.5449,0.00015382,189.65,152,1976066,285,"U"
"have·been·proposed·",3,1.4441,0.73149,0.0053918,0,153,36890,2017,"T"
"the·hydrogen·",2,8.1372,0.16311,0.00013656,19.507,133,1976066,1079,"U"
"a·building·",2,9.6594,0.10627,0.00080674,50.873,227,557551,5207,"T"
"the·secret·",2,10.065,0.25163,0.00027208,107.86,331,1976066,1328,"T"
"a·crime·",2,8.8063,0.25574,0.00064757,164.5,181,557551,1466,"T"
"days·for·",2,6.302,0.064844,0.00053434,3.374,63,5957,222363,"F"
"many·of·whom·",3,5.2646,0.7767,0.00038104,0,127,30040,3523,"T"
"were·developed·",2,11.689,0.48218,0.0060909,507.6,291,90681,4872,"T"
"of·cultural·",2,9.6772,0.11177,0.00048678,47.016,226,966326,3315,"F"
"in·a·row·",3,0.90432,0.73336,0.00063909,0,277,741837,903,"T"
"to·become·an·",3,-2.6968,0.41189,0.00054681,0,128,590991,106400,"F"
"the·neighboring·",2,8.4809,0.45813,0.00020641,180.09,204,1976066,547,"F"
"to·receive·",2,12.83,0.71883,0.0024807,1539.6,489,590991,1572,"T"
"of·aircraft·",2,8.2208,0.065102,0.00029223,7.6863,144,966326,5525,"F"
"developed·into·",2,9.5013,0.44369,0.0041681,166.31,142,2335,36532,"T"
"of·NUM·years·",3,-4.2806,0.078438,0.00085995,0,437,966326,27542,"T"
"despite·this·",2,11.178,0.62902,0.0091364,800.09,352,5801,83950,"U"
"were·held·",2,13.45,0.61897,0.012555,1292.3,210,90681,6650,"T"
"Pan·Am·",2,8.3146,0.95393,0.27403,1010.6,124,654,251,"U"
"were·used·",2,14.216,0.45,0.018175,1496.4,227,90681,27170,"T"
"the·orbital·",2,7.9831,0.23181,0.00011939,50.266,125,1976066,568,"F"
"he·subsequently·",2,7.7979,0.31779,0.0020228,193.53,147,142682,2663,"U"
"is·NUM·-·NUM·",4,21.759,0.019496,0.0002683,0,157,270267,1001604,"U"
"anyone·who·",2,11.719,0.80703,0.0081591,660.99,191,913,45906,"F"
"in·production·",2,8.5957,0.057215,0.00052046,1.7588,196,741837,7506,"T"
"the·weak·",2,7.722,0.16066,0.00013353,25.09,131,1976066,954,"U"
"NUM·percent·of·",3,4.8802,0.67747,0.0017919,0,613,1001604,966326,"T"
"of·the·decade·",3,6.3343,0.33671,0.00017019,0,132,966326,1396,"T"
"his·enemies·",2,0,0,0,1.7372,101,0,799,"T"
"the·bay·",2,8.2527,0.37232,0.00014166,101.63,136,1976066,451,"T"
"the·prison·",2,8.4665,0.21662,0.00018305,19.155,177,1976066,1582,"T"
"the·bombing·",2,8.8582,0.2636,0.0001629,85.584,154,1976066,663,"T"
"the·relatively·",2,8.4701,0.11193,0.00021126,4.1585,209,1976066,2530,"F"
"it·takes·",2,10.455,0.51679,0.0043682,553.31,280,125578,2622,"F"
"information·for·",2,7.6625,0.12744,0.0009835,35.774,112,5396,222363,"U"
"intended·for·",2,11.114,0.54816,0.0031304,699.62,387,1893,222363,"T"
"to·stand·",2,12.321,0.75816,0.0010143,666.29,300,590991,577,"T"
"was·charged·with·",3,6.2684,0.51873,0.00084493,0,136,287981,193898,"T"
"the·dead·",2,9.6995,0.19953,0.00022858,67.098,266,1976066,1322,"U"
"Santa·Maria·",2,8.897,0.9759,0.095546,845.03,148,1473,1625,"U"
"the·european·",2,13.529,0.29217,0.0014357,676.59,703,1976066,6252,"U"
"NUM·nm·",2,7.6607,0.95445,0.00065672,893.75,330,1001604,347,"T"
"within·an·",2,7.8261,0.15723,0.0022923,51.269,136,12257,106400,"U"
"power·plants·",2,9.3044,0.86735,0.01967,466.34,134,11235,2288,"T"
"from·NMONTH·NUM·until·NMONTH·NUM·",6,17.267,0.45757,0.00018018,0,68,138331,1001604,"T"
"in·the·nation·",3,7.8053,0.47559,0.00032529,0,295,741837,2735,"T"
"the·earliest·",2,11.022,0.81931,0.00106,1832.1,970,1976066,1336,"T"
"the·aforementioned·",2,6.8394,0.88516,0.00015383,291.25,152,1976066,177,"U"
"NUM·destroyers·",2,6.1184,0.31198,0.00014771,70.459,74,1001604,336,"T"
"NUM·does·not·",3,-4.3365,0.059323,0.00020433,0,73,1001604,63743,"F"
"the·image·",2,12.22,0.26632,0.00064261,223.39,270,1976066,3373,"T"
"a·sense·of·",3,1.5217,0.32046,0.00053068,0,270,557551,966326,"U"
"Cao·Cao·",2,12.748,0.74435,0.28738,3484.4,379,1806,1806,"U"
"of·the·text·",3,8.5088,0.15107,0.0001426,0,140,966326,2925,"U"
"are·offered·",2,10.132,0.61036,0.0022985,231.46,124,106340,1556,"U"
"NUM·-·NUM·who·",4,20.756,0.1361,0.00035895,0,211,1001604,45906,"U"
"has·never·",2,10.258,0.67559,0.0091297,616.87,149,65252,6382,"U"
"written·for·",2,10.255,0.24122,0.0025277,239.39,195,6299,222363,"U"
"several·other·",2,12.4,0.61422,0.021483,1339.2,471,17086,46593,"U"
"at·NUM·years·",3,8.6236,0.083268,0.00036629,0,141,125676,27542,"U"
"the·distinction·between·",3,3.9138,0.40236,0.00022435,0,152,1976066,28684,"T"
"his·music·",2,0,0,0,1.7372,239,0,11742,"U"
"NUM·being·",2,10.931,0.21551,0.00012574,38.017,335,1001604,20250,"F"
"virtually·all·",2,10.145,0.86275,0.0080773,420.38,151,711,27764,"T"
"the·methods·",2,8.5231,0.082259,0.00014253,4.9732,141,1976066,2485,"T"
"in·Central·",2,9.8504,0.16223,0.00088245,147.94,264,741837,3817,"U"
"there·were·NUM·housing·units·at·an·average·density·",9,12.269,0.99963,0.0018641,0,282,26609,2182,"F"
"begin·with·",2,8.3416,0.3167,0.0009125,119.53,136,1170,193898,"U"
"NUM·UTC·",2,8.1952,0.95534,0.00029747,363.96,153,1001604,179,"U"
"an·armed·",2,9.0085,0.63149,0.0023412,262.13,126,106400,1237,"F"
"impact·on·",2,12.432,0.62106,0.0050972,1245.4,247,1950,200123,"U"
"Darwin·'·s·",3,-0.65838,0.7037,0.00063117,0,125,549,81513,"U"
"is·already·",2,7.7889,0.31656,0.0010289,77.413,141,270267,3811,"F"
"of·the·later·",3,8.0784,0.059549,0.00007636,0,113,966326,4170,"F"
"on·NMONTH·NUM·at·",4,14.441,0.029088,0.00039244,0,423,200123,125676,"U"
"of·the·human·",3,3.704,0.12328,0.00025132,0,249,966326,6035,"U"
"a·break·",2,9.7448,0.36912,0.00063035,232.42,175,557551,871,"U"
"more·than·half·",3,9.0042,0.68545,0.0061134,0,137,20415,4612,"T"
